timestamp,item,time_ms,percentage,source
2025-07-23 23:12:13,"003.043: require('todo-comments')",18.299,1.7%,profile
2025-07-23 23:12:11,"002.349: require('chatgpt')",18.183,1.7%,profile
2025-07-23 23:12:12,"000.892: sourcing /Users/joshpeterson/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim",18.114,1.7%,profile
2025-07-23 23:12:09,"000.877: sourcing /Users/joshpeterson/.local/share/nvim/lazy/render-markdown/plugin/render-markdown.lua",18.113,1.7%,profile
2025-07-23 23:12:13,"000.553: require('litee.gh')",18.045,1.7%,profile
2025-07-23 23:12:13,"002.450: require('fzf-lua')",17.860,1.7%,profile
2025-07-23 23:12:12,"000.574: require('formatter.filetypes.any')",17.642,1.7%,profile
2025-07-23 23:12:09,"002.063: require('mason-lock')",17.469,1.6%,profile
2025-07-23 23:12:13,"003.871: require('telescope._extensions.gpt')",17.428,1.6%,profile
2025-07-23 23:12:12,"000.773: require('nvim-treesitter.configs')",17.247,1.6%,profile
2025-07-23 23:12:10,"006.633: require('multicursors')",17.069,1.6%,profile
2025-07-23 23:12:12,"002.444: require('formatter.defaults')",17.067,1.6%,profile
2025-07-23 23:12:13,"003.017: require('pieces.copilot')",17.050,1.6%,profile
2025-07-23 23:12:13,"001.626: require('kulala')",16.827,1.6%,profile
2025-07-23 23:12:11,"012.572: require('lualine')",16.741,1.6%,profile
2025-07-23 23:12:10,"000.366: require('chatgpt.module')",16.711,1.6%,profile
2025-07-23 23:12:13,"001.230: require('cmp.core')",16.684,1.6%,profile
2025-07-23 23:12:10,"000.863: sourcing /Users/joshpeterson/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua",16.562,1.6%,profile
2025-07-23 23:12:12,"000.749: require('nvim-treesitter.query')",16.474,1.6%,profile
2025-07-23 23:12:11,"000.663: require('cmp.view.docs_view')",16.468,1.6%,profile
2025-07-23 23:12:11,"000.613: require('litee.gh.commands')",16.443,1.5%,profile
